Player,Team,POS,ATT,YDS,TDS,REC,YDS,TDS,FL,FPTS
Gavin Bartholomew,MIN,TE79,0,0,0,5.5,59.5,0.6,0,14.9
Ian Thomas,LV,TE80,0,0,0,6.6,58.5,0.4,0,14.9
John Metchie III,CAR,WR132,0,0,0,6.2,68.2,0.3,0,14.8
Mitchell Evans,CAR,TE81,0,0,0,6.3,59.7,0.4,0,14.5
Cody White,SEA,WR133,0,0,0,5.4,66.6,0.4,0,14.5
Travis Homer,PIT,RB99,19.5,63.5,0.3,3.3,24.9,0.1,0,14.5
Skyy Moore,GB,WR134,0,0,0,5.4,66.1,0.4,0,14.3
Cam Grandy,CIN,TE82,0,0,0,6.2,54.1,0.4,0,14.3
Xavier Restrepo,TEN,WR135,0,2,0,4,40,1,0,14.2
Luke Farrell,SF,TE83,0,0,0,6.1,58.5,0.4,0,14.2
Thomas Fidone II,NYG,TE84,0,0,0,5.5,52,0.5,0,13.7
Charlie Kolar,LAC,TE85,0,0.5,0,4.9,60,0.4,0,13.3
Jackson Hawes,BUF,TE86,0,0,0,5.3,57.2,0.4,0,13.3
Ben Sims,MIA,TE87,0,0,0,5,51,0.5,0,13.1
Jaheim Bell,PHI,TE88,0,0,0,5,50,0.5,0,13
Jared Wiley,KC,TE89,0,0,0,5.4,53.1,0.4,0,13
Mason Tipton,NO,WR136,0,0,0,5.2,54.8,0.4,0,12.9
Efton Chism III,NE,WR137,0,0,0,4.9,56.9,0.4,0,12.8
Durham Smythe,BAL,TE90,0,0,0,5.4,45.6,0.4,0,12.1
Phil Mafah,DAL,RB100,0,61.5,0.5,1.5,11,0,0,11.8
Trent Sherfield Sr.,BUF,WR138,0,0,0,4.4,52.8,0.4,0,11.7
Chris Manhertz,NYG,TE91,0,0,0,4.9,44.3,0.4,0,11.6
Raheim Sanders,CLE,RB101,14,56,0.5,1.5,11.5,0,0,11.3
Jelani Woods,NYJ,TE92,0,0,0,3.5,46.5,0.5,0,11.2
Jordan James,SF,RB102,18.2,63,0.4,1,12,0,0,10.8
Patrick Ricard,NYG,RB103,4.1,11.5,0.1,3.4,27.3,0.5,0,10.8
Terrell Jennings,NE,RB104,4.8,20.1,0.1,3.8,29.1,0.2,0,10.5
Derius Davis,LAC,WR139,10.5,35.5,0.2,2.8,31.2,0.1,0.6,10.4
Tez Johnson,TB,WR140,0,0,0,4,49.4,0.2,0,10.3
Ben Skowronek,PIT,WR141,0,0,0,4,43.9,0.3,0,10.1
Will Mallory,IND,TE93,0,0,0,3.9,38.7,0.3,0,9.6
Nathan Carter,ATL,RB105,9.3,39.1,0.3,2.1,14.2,0.1,0.1,9.6
Kylen Granson,TEN,TE94,0,0,0,4,45.1,0.1,0,9.2
Xavier Weaver,ARI,WR142,0,0,0,3.4,39.9,0.3,0,9.1
Justin Watson,HOU,WR143,0,0,0,3.3,44.8,0.2,0,9
Davis Allen,LAR,TE95,0,0,0,4,37.9,0.2,0,9
David Martin-Robinson,TEN,TE96,0,0,0,3.7,37.2,0.3,0,8.9
Bam Knight,ARI,RB106,4.6,19.5,0.1,3.1,22.5,0.1,0,8.9
Hunter Luepke,DAL,RB107,4.2,14.3,0.1,3.9,26.6,0.1,0,8.8
Charlie Jones,CIN,WR144,0,1.7,0,3.3,39.1,0.2,0,8.7
Jordan Watkins,SF,WR145,0,2.5,0,3,42.7,0.2,0,8.6
Bryce Oliver,TEN,WR146,0,0,0,3.4,38.2,0.2,0,8.6
Lil'Jordan Humphrey,DEN,WR147,0,0,0,4,44,0,0,8.4
Gage Larvadain,CLE,WR148,0,0,0,3.6,39,0.2,0,8.4
Eric Gray,NYG,RB108,11.8,42.6,0.2,1.9,14.3,0.1,0.5,7.9
Mo Alie-Cox,IND,TE97,0,0,0,2.8,30.9,0.2,0,7
Dylan Laube,LV,RB109,4,29.4,0.1,2,14.5,0,0,6.7
Tanner Hudson,CIN,TE98,0,0,0,2.9,26.5,0.2,0,6.5
Nick Nash,WAS,WR149,0,0,0,3,35,0,0,6.5
Rasheen Ali,BAL,RB110,5.2,33.4,0.1,1.4,10.2,0.1,0,6.5
Brycen Tremayne,CAR,WR150,0,0,0,2.6,29,0.1,0,6.4
Malachi Corley,CLE,WR151,0,2,0,3,29,0,0,6.1
Ko Kieft,TB,TE99,0,0,0,1.5,16,0.5,0,6.1
Mitch Tinsley,CIN,WR152,0,0,0,2.5,28.8,0.1,0,5.9
Erick All Jr.,CIN,TE100,0,0,0,2.3,20.5,0.2,0,5.4
Velus Jones Jr.,SEA,WR153,2.4,10.5,0.1,1.8,13.3,0.1,0,5.2
Deuce Vaughn,DEN,RB111,0,31,0,1,8,0,0,4.9
Konata Mumpfield,LAR,WR154,0,0,0,1.8,21.2,0.2,0,4.8
Dante Pettis,NO,WR155,0,6,0,2,22,0,0,4.8
Kendrick Bourne,ARI,WR156,0,5,0,2,22,0,0,4.7
Tyler Scott,LAR,WR157,0,5,0,2,22,0,0,4.7
Michael Carter,TEN,RB112,0,21,0,1.5,11,0,0,4.7
Carlos Washington Jr.,ATL,RB113,0,30,0,1,7,0,0,4.7
Anthony Gould,IND,WR158,0,2.5,0,1.8,22.8,0.1,0,4.6
Jack Westover,NE,TE101,0,0,0,1.8,18.3,0.1,0,4.4
Feleipe Franks,CAR,QB1,0,0,0,1.8,17.7,0.1,0,4.4
Tyrell Shavers,BUF,WR159,0,0,0,1.5,20.1,0.1,0,4.3
Ashton Dulin,IND,WR160,0,1.7,0,1.7,19.4,0.1,0,4.3
Beaux Collins,NYG,WR161,0,0,0,1.7,19.1,0.1,0,4.2
James Mitchell,CAR,TE102,0,0,0,1.9,17.8,0.1,0,4.1
Scott Matlock,LAC,DT1,0,0,0,2.2,14.7,0.1,0,4
Audric Estime,NO,RB114,0,20,0,1,6,0,0,3.6
Damien Martinez,GB,RB115,0,17,0,1,7,0,0,3.4
Josh Whyle,GB,TE103,0,0,0,1.5,15.5,0,0,3.1
Jack Stoll,CLE,TE104,0,0,0,1.5,15,0,0,3
Pierre Strong Jr.,GB,RB116,0,12.5,0,1,7.5,0,0,3
Carson Steele,PHI,RB117,0,12,0,1,7,0,0,2.9
Devin Duvernay,ARI,WR162,0,6,0,2,23,0,1,2.9
Josh Williams,TB,RB118,4.5,18.8,0.1,0,0,0,0,2.6
DeeJay Dallas,JAC,RB119,0,8,0,1.5,11,0,0.5,2.4
Isaiah Williams,NYJ,WR163,0,0,0,1,14,0,0,2.4
Xavier Smith,LAR,WR164,2.2,9.6,0.1,1,11,0,0.5,2.3
Tank Dell,HOU,WR165,0,0,0,1,12,0,0,2.2
LaJohntay Wester,BAL,WR166,0,0,0,1,12,0,0,2.2
Ryan Miller,NYG,WR167,0,0,0,0.8,9.7,0.1,0,2.1
Keilan Robinson,NYJ,RB120,0,4,0,1,7,0,0,2.1
Ronnie Rivers,LAR,RB121,0,4,0,1,7,0,0,2.1
Nick Vannett,LAR,TE105,0,0,0,1,10,0,0,2
Quintin Morris,JAC,TE106,0,0,0,1,10,0,0,2
Greg Dulcich,MIA,TE107,0,0,0,1,9.5,0,0,2
Tyler Badie,DEN,RB122,0,10.5,0,0.5,3.5,0,0,1.9
Cam Akers,SEA,RB123,0,10.5,0,0.5,3,0,0,1.9
Sione Vaki,DET,RB124,0,4.5,0,0.5,3.5,0,0,1.3
Jason Brownlee,KC,WR168,0,0,0,0.5,7,0,0,1.2
Nikko Remigio,KC,WR169,0,0,0,0.5,6.5,0,0,1.2
Jacob Cowing,SF,WR170,0,8.5,0,0,0,0,0,0.9
Chase Edmonds,WAS,RB125,0,0,0,0,0,0,0,0
Andrew Beck,NYJ,TE108,0,0,0,0,0,0,0,0
Reggie Gilliam,NE,RB126,0,0,0,0,0,0,0,0
Kene Nwangwu,NYJ,RB127,0,0,0,0,0,0,0,0
Gary Brightwell,CIN,RB128,0,0,0,0,0,0,0,0
Brady Russell,SEA,TE109,0,0,0,0,0,0,0,0
Jonathon Brooks,CAR,RB129,0,0,0,0,0,0,0,0
British Brooks,HOU,RB130,0,0,0,0,0,0,0,0
David Sills V,TB,WR171,0,0,0,0,0,0,0,0
Treylon Burks,WAS,WR172,0,0,0,0,0,0,0,0
Jonathan Mingo,DAL,WR173,0,0,0,0,0,0,0,0
Bub Means,NO,WR174,0,0,0,0,0,0,0,0
Tahj Washington,MIA,WR175,0,0,0,0,0,0,0,0
Kameron Johnson,TB,WR176,0,0,0,0,0,0,0,0
Albert Okwuegbunam Jr.,LV,TE110,0,0,0,0,0,0,0,0
Stephen Carlson,CHI,TE111,0,0,0,0,0,0,0,0
Lawrence Cager,WAS,WR177,0,0,0,0,0,0,0,0
Sean McKeon,IND,TE112,0,0,0,0,0,0,0,0
Luke Lachey,HOU,TE113,0,0,0,0,0,0,0,0
Cole Turner,MIA,TE114,0,0,0,0,0,0,0,0
Justin Shorter,LV,WR178,0,0,0,0,0,0,0,0
Nikola Kalinic,CHI,TE115,0,0,0,0,0,0,0,0
Cameron Latu,PHI,TE116,0,0,0,0,0,0,0,0
Jake Tonges,SF,TE117,0,0,0,0,0,0,0,0
Zack Kuntz,MIA,TE118,0,0,0,0,0,0,0,0
Brayden Willis,SF,TE119,0,0,0,0,0,0,0,0
E.J. Jenkins,PHI,TE120,0,0,0,0,0,0,0,0
Princeton Fant,DAL,TE121,0,0,0,0,0,0,0,0
Tanner McLachlan,LAC,TE122,0,0,0,0,0,0,0,0
Brenden Bates,CLE,TE123,0,0,0,0,0,0,0,0
Colson Yankoff,WAS,TE124,0,0,0,0,0,0,0,0
Caleb Lohner,DEN,TE125,0,0,0,0,0,0,0,0
Ihmir Smith-Marsette,ARI,WR179,0,5,0,0,0,0,1,-1.5
